OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,ZipCode,TaxParcelIdentificationNumber,CouncilDistrictCode,Neighborhood,NumberofBuildings,NumberofFloors,PropertyGFATotal,ListOfAllPropertyUseTypes,LargestPropertyUseType,ENERGYSTARScore,SiteEUIWN(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUseWN(kBtu),Electricity(kWh),ComplianceStatus,TotalGHGEmissions,GHGEmissionsIntensity,Âgebâtiment,out_clas,consumption_rate_Electricity,consumption_rate_Gas,consumption_rate_Steam,GFABuildingRate,GFAParkingRate,GFAPerBuilding,GFAPerFloor
457,2016,NonResidential,Large Office,98103.0,2264501110,4,LAKE UNION,1.0,3,103697,Office,Office,7.0,184.6999969,356.10000610000003,11672252.0,1437351.5,Compliant,374.92,3.62,15,Low,High Usage,High Usage,Low Usage,0.54043,0.45957,103697.0,34565.667
458,2016,NonResidential,Small- and Mid-Sized Office,98125.0,2434900010,5,NORTH,1.0,5,74880,"Office, Parking",Office,56.0,77.09999847,242.10000609999997,5531460.0,1504867.25,Compliant,35.8,0.48,42,Low,High Usage,Low Usage,Low Usage,1.0,0.0,74880.0,14976.0
459,2016,NonResidential,Small- and Mid-Sized Office,98115.0,2434900020,5,NORTH,1.0,6,88774,"Office, Parking",Office,53.0,74.40000153,233.8000031,6353294.0,1767034.25,Compliant,42.03,0.47,37,Low,High Usage,Low Usage,Low Usage,1.0,0.0,88774.0,14795.667
460,2016,NonResidential,Large Office,98115.0,2434900030,5,NORTH,1.0,5,122250,"Adult Education, Bank Branch, Office, Parking",Office,93.0,43.5,136.3999939,5535626.0,1622399.0,Compliant,38.59,0.32,33,Low,High Usage,Low Usage,Low Usage,1.0,0.0,122250.0,24450.0
461,2016,NonResidential,Small- and Mid-Sized Office,98115.0,2434900100,5,NORTH,1.0,4,53730,"Office, Parking",Office,20.0,88.30000305,277.2000122,4742869.0,1390055.25,Compliant,33.06,0.62,37,Low,High Usage,Low Usage,Low Usage,1.0,0.0,53730.0,13432.5
462,2016,NonResidential,Small- and Mid-Sized Office,98101.0,2444600005,1,DELRIDGE,1.0,3,55593,Office,Office,55.0,79.40000153,190.1999969,4414587.0,833103.5,Compliant,93.23,1.68,56,Low,High Usage,High Usage,Low Usage,1.0,0.0,55593.0,18531.0
463,2016,NonResidential,Large Office,98109.0,2467400315,7,LAKE UNION,1.0,4,134056,"Office, Parking",Office,54.0,68.0,213.5,4899096.0,1376066.25,Compliant,32.73,0.24,34,Low,High Usage,Low Usage,Low Usage,0.54526,0.45474,134056.0,33514.0
464,2016,NonResidential,Retail Store,98199.0,2617650020,2,GREATER DUWAMISH,1.0,1,158415,Retail Store,Retail Store,25.0,147.0,364.5,23293664.0,4668122.5,Compliant,454.49,2.87,11,Low,High Usage,High Usage,Low Usage,1.0,0.0,158415.0,158415.0
465,2016,NonResidential,Large Office,98109.0,2693100010,7,LAKE UNION,1.0,8,287819,"Data Center, Office, Other, Restaurant",Office,,174.6000061,545.9000244,48037000.0,14113435.0,Compliant,349.07,1.21,87,Low,High Usage,High Usage,Low Usage,1.0,0.0,287819.0,35977.375
466,2016,NonResidential,Other,98101.0,1979200225,3,EAST,1.0,8,158738,Urgent Care/Clinic/Other Outpatient,Urgent Care/Clinic/Other Outpatient,,385.60000610000003,1001.0,61214744.0,13636758.0,Compliant,1268.87,7.99,41,Low,High Usage,High Usage,High Usage,1.0,0.0,158738.0,19842.25
467,2016,NonResidential,Retail Store,98107.0,1982202070,6,BALLARD,1.0,1,164437,"Parking, Retail Store, Supermarket/Grocery Store",Retail Store,62.0,107.6999969,278.0,19031574.0,4132326.75,Compliant,326.18,1.98,17,Low,High Usage,High Usage,Low Usage,1.0,0.0,164437.0,164437.0
468,2016,NonResidential,Large Office,98109.0,1983200150,7,LAKE UNION,1.0,5,184482,"Office, Other, Parking",Office,95.0,49.09999847,153.6000061,5869476.5,1656231.0,Compliant,40.47,0.22,7,Low,High Usage,High Usage,Low Usage,0.64097,0.35903,184482.0,36896.4
469,2016,NonResidential,Laboratory,98109.0,1983200160,7,LAKE UNION,1.0,3,55200,"Data Center, Laboratory",Laboratory,,218.6999969,509.0,12072969.0,2198235.0,Compliant,269.71,4.89,88,Low,High Usage,High Usage,Low Usage,1.0,0.0,55200.0,18400.0
470,2016,NonResidential,Laboratory,98109.0,1983200200,7,LAKE UNION,1.0,4,241159,Laboratory,Laboratory,,197.1999969,449.0,34746128.0,5975651.5,Compliant,849.83,3.52,13,Low,High Usage,High Usage,Low Usage,0.53643,0.46357,241159.0,60289.75
473,2016,NonResidential,Large Office,98109.0,1983200585,7,LAKE UNION,1.0,5,271071,"Medical Office, Office, Parking",Office,96.0,43.0,133.3000031,7960023.0,2255357.5,Compliant,61.93,0.23,7,Low,High Usage,High Usage,Low Usage,0.63589,0.36411,271071.0,54214.2
